"module name","licenses","repository","licenseUrl","parents"
"@ampproject/toolbox-core@1.1.1","Apache-2.0","https://github.com/ampproject/amp-toolbox","https://github.com/ampproject/amp-toolbox/raw/master/LICENSE","fire-uach"
"@ampproject/toolbox-optimizer@1.1.1","Apache-2.0","https://github.com/ampproject/amp-toolbox","https://github.com/ampproject/amp-toolbox/raw/master/LICENSE","fire-uach"
"@ampproject/toolbox-runtime-version@1.1.1","Apache-2.0","https://github.com/ampproject/amp-toolbox","https://github.com/ampproject/amp-toolbox/raw/master/LICENSE","fire-uach"
"@ampproject/toolbox-script-csp@1.1.1","Apache-2.0","https://github.com/ampproject/amp-toolbox","https://github.com/ampproject/amp-toolbox/raw/master/LICENSE","fire-uach"
"@apollo/protobufjs@1.0.3","BSD-3-Clause","https://github.com/apollographql/protobuf.js","https://github.com/apollographql/protobuf.js/raw/master/LICENSE","fire-uach"
"@apollo/react-common@3.1.3","MIT","https://github.com/apollographql/react-apollo","https://github.com/apollographql/react-apollo/raw/master/LICENSE","fire-uach"
"@apollo/react-hooks@3.1.3","MIT","https://github.com/apollographql/react-apollo","https://github.com/apollographql/react-apollo/raw/master/LICENSE","fire-uach"
"@apollo/react-ssr@3.1.3","MIT","https://github.com/apollographql/react-apollo","https://github.com/apollographql/react-apollo/raw/master/LICENSE","fire-uach"
"@apollographql/apollo-tools@0.4.2","MIT","https://github.com/apollographql/apollo-tooling","https://github.com/apollographql/apollo-tooling/raw/master/LICENSE","fire-uach"
"@apollographql/apollo-tools@0.4.3","MIT","https://github.com/apollographql/apollo-tooling","https://github.com/apollographql/apollo-tooling/raw/master/LICENSE","apollo-server-express:fire-uach"
"@apollographql/graphql-playground-html@1.6.24","MIT","http://github.com/graphcool/graphql-playground","http://github.com/graphcool/graphql-playground","fire-uach"
"@babel/code-frame@7.5.5","MIT","https://github.com/babel/babel/tree/master/packages/babel-code-frame","https://github.com/babel/babel/tree/master/packages/babel-code-frame/raw/master/LICENSE","fire-uach"
"@babel/code-frame@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-code-frame","https://github.com/babel/babel/tree/master/packages/babel-code-frame/raw/master/LICENSE","@babel/core:fire-uach"
"@babel/core@7.7.2","MIT","https://github.com/babel/babel/tree/master/packages/babel-core","https://github.com/babel/babel/tree/master/packages/babel-core/raw/master/LICENSE","next:fire-uach"
"@babel/core@7.7.5","MIT","https://github.com/babel/babel/tree/master/packages/babel-core","https://github.com/babel/babel/tree/master/packages/babel-core/raw/master/LICENSE","@jest/transform:fire-uach"
"@babel/core@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-core","https://github.com/babel/babel/tree/master/packages/babel-core/raw/master/LICENSE","fire-uach"
"@babel/generator@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-generator","https://github.com/babel/babel/tree/master/packages/babel-generator/raw/master/LICENSE","fire-uach"
"@babel/generator@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-generator","https://github.com/babel/babel/tree/master/packages/babel-generator/raw/master/LICENSE","@babel/core:fire-uach"
"@babel/helper-annotate-as-pure@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-annotate-as-pure","https://github.com/babel/babel/tree/master/packages/babel-helper-annotate-as-pure/raw/master/LICENSE","fire-uach"
"@babel/helper-builder-binary-assignment-operator-visitor@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-builder-binary-assignment-operator-visitor","https://github.com/babel/babel/tree/master/packages/babel-helper-builder-binary-assignment-operator-visitor/raw/master/LICENSE","fire-uach"
"@babel/helper-builder-react-jsx@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-builder-react-jsx","https://github.com/babel/babel/tree/master/packages/babel-helper-builder-react-jsx/raw/master/LICENSE","fire-uach"
"@babel/helper-call-delegate@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-call-delegate","https://github.com/babel/babel/tree/master/packages/babel-helper-call-delegate/raw/master/LICENSE","fire-uach"
"@babel/helper-create-class-features-plugin@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-create-class-features-plugin","https://github.com/babel/babel/tree/master/packages/babel-helper-create-class-features-plugin/raw/master/LICENSE","next:fire-uach"
"@babel/helper-create-regexp-features-plugin@7.7.4","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","next:fire-uach"
"@babel/helper-define-map@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-define-map","https://github.com/babel/babel/tree/master/packages/babel-helper-define-map/raw/master/LICENSE","fire-uach"
"@babel/helper-explode-assignable-expression@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-explode-assignable-expression","https://github.com/babel/babel/tree/master/packages/babel-helper-explode-assignable-expression/raw/master/LICENSE","fire-uach"
"@babel/helper-function-name@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-function-name","https://github.com/babel/babel/tree/master/packages/babel-helper-function-name/raw/master/LICENSE","fire-uach"
"@babel/helper-function-name@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-function-name","https://github.com/babel/babel/tree/master/packages/babel-helper-function-name/raw/master/LICENSE","@babel/core:fire-uach"
"@babel/helper-get-function-arity@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-get-function-arity","https://github.com/babel/babel/tree/master/packages/babel-helper-get-function-arity/raw/master/LICENSE","fire-uach"
"@babel/helper-get-function-arity@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-get-function-arity","https://github.com/babel/babel/tree/master/packages/babel-helper-get-function-arity/raw/master/LICENSE","@babel/core:fire-uach"
"@babel/helper-hoist-variables@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-hoist-variables","https://github.com/babel/babel/tree/master/packages/babel-helper-hoist-variables/raw/master/LICENSE","fire-uach"
"@babel/helper-member-expression-to-functions@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-member-expression-to-functions","https://github.com/babel/babel/tree/master/packages/babel-helper-member-expression-to-functions/raw/master/LICENSE","fire-uach"
"@babel/helper-module-imports@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-module-imports","https://github.com/babel/babel/tree/master/packages/babel-helper-module-imports/raw/master/LICENSE","fire-uach"
"@babel/helper-module-transforms@7.7.5","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-module-transforms","https://github.com/babel/babel/tree/master/packages/babel-helper-module-transforms/raw/master/LICENSE","fire-uach"
"@babel/helper-optimise-call-expression@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-optimise-call-expression","https://github.com/babel/babel/tree/master/packages/babel-helper-optimise-call-expression/raw/master/LICENSE","fire-uach"
"@babel/helper-plugin-utils@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-plugin-utils","https://github.com/babel/babel/tree/master/packages/babel-helper-plugin-utils/raw/master/LICENSE","fire-uach"
"@babel/helper-plugin-utils@7.8.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-plugin-utils","https://github.com/babel/babel/tree/master/packages/babel-helper-plugin-utils/raw/master/LICENSE","@babel/plugin-proposal-nullish-coalescing-operator:fire-uach"
"@babel/helper-regex@7.5.5","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-regex","https://github.com/babel/babel/tree/master/packages/babel-helper-regex/raw/master/LICENSE","fire-uach"
"@babel/helper-remap-async-to-generator@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-remap-async-to-generator","https://github.com/babel/babel/tree/master/packages/babel-helper-remap-async-to-generator/raw/master/LICENSE","fire-uach"
"@babel/helper-replace-supers@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-replace-supers","https://github.com/babel/babel/tree/master/packages/babel-helper-replace-supers/raw/master/LICENSE","fire-uach"
"@babel/helper-simple-access@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-simple-access","https://github.com/babel/babel/tree/master/packages/babel-helper-simple-access/raw/master/LICENSE","fire-uach"
"@babel/helper-split-export-declaration@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-split-export-declaration","https://github.com/babel/babel/tree/master/packages/babel-helper-split-export-declaration/raw/master/LICENSE","fire-uach"
"@babel/helper-split-export-declaration@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-split-export-declaration","https://github.com/babel/babel/tree/master/packages/babel-helper-split-export-declaration/raw/master/LICENSE","@babel/core:fire-uach"
"@babel/helper-wrap-function@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-wrap-function","https://github.com/babel/babel/tree/master/packages/babel-helper-wrap-function/raw/master/LICENSE","fire-uach"
"@babel/helpers@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-helpers","https://github.com/babel/babel/tree/master/packages/babel-helpers/raw/master/LICENSE","fire-uach"
"@babel/helpers@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helpers","https://github.com/babel/babel/tree/master/packages/babel-helpers/raw/master/LICENSE","@babel/core:fire-uach"
"@babel/highlight@7.5.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-highlight","https://github.com/babel/babel/tree/master/packages/babel-highlight/raw/master/LICENSE","fire-uach"
"@babel/highlight@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-highlight","https://github.com/babel/babel/tree/master/packages/babel-highlight/raw/master/LICENSE","@babel/core:fire-uach"
"@babel/parser@7.7.5","MIT","https://github.com/babel/babel/tree/master/packages/babel-parser","https://github.com/babel/babel/tree/master/packages/babel-parser/raw/master/LICENSE","fire-uach"
"@babel/parser@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-parser","https://github.com/babel/babel/tree/master/packages/babel-parser/raw/master/LICENSE","@babel/core:fire-uach"
"@babel/plugin-proposal-async-generator-functions@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-async-generator-functions","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-async-generator-functions/raw/master/LICENSE","next:fire-uach"
"@babel/plugin-proposal-class-properties@7.7.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-class-properties","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-class-properties/raw/master/LICENSE","next:fire-uach"
"@babel/plugin-proposal-dynamic-import@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-dynamic-import","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-dynamic-import/raw/master/LICENSE","next:fire-uach"
"@babel/plugin-proposal-json-strings@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-json-strings","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-json-strings/raw/master/LICENSE","next:fire-uach"
"@babel/plugin-proposal-nullish-coalescing-operator@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-nullish-coalescing-operator","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-nullish-coalescing-operator/raw/master/LICENSE","next:fire-uach"
"@babel/plugin-proposal-nullish-coalescing-operator@7.8.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-nullish-coalescing-operator","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-nullish-coalescing-operator/raw/master/LICENSE","fire-uach"
"@babel/plugin-proposal-object-rest-spread@7.6.2","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-object-rest-spread","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-object-rest-spread/raw/master/LICENSE","next:fire-uach"
"@babel/plugin-proposal-object-rest-spread@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-object-rest-spread","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-object-rest-spread/raw/master/LICENSE","@babel/preset-env:next:fire-uach"
"@babel/plugin-proposal-optional-catch-binding@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-optional-catch-binding","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-optional-catch-binding/raw/master/LICENSE","next:fire-uach"
"@babel/plugin-proposal-optional-chaining@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-optional-chaining","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-optional-chaining/raw/master/LICENSE","next:fire-uach"
"@babel/plugin-proposal-optional-chaining@7.8.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-optional-chaining","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-optional-chaining/raw/master/LICENSE","fire-uach"
"@babel/plugin-proposal-unicode-property-regex@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-unicode-property-regex","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-unicode-property-regex/raw/master/LICENSE","next:fire-uach"
"@babel/plugin-syntax-async-generators@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators/raw/master/LICENSE","next:fire-uach"
"@babel/plugin-syntax-dynamic-import@7.2.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import/raw/master/LICENSE","next:fire-uach"
"@babel/plugin-syntax-dynamic-import@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import/raw/master/LICENSE","@babel/plugin-proposal-dynamic-import:next:fire-uach"
"@babel/plugin-syntax-json-strings@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-json-strings","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-json-strings/raw/master/LICENSE","next:fire-uach"
"@babel/plugin-syntax-jsx@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-jsx","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-jsx/raw/master/LICENSE","next:fire-uach"
"@babel/plugin-syntax-nullish-coalescing-operator@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-nullish-coalescing-operator","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-nullish-coalescing-operator/raw/master/LICENSE","next:fire-uach"
"@babel/plugin-syntax-nullish-coalescing-operator@7.8.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-nullish-coalescing-operator","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-nullish-coalescing-operator/raw/master/LICENSE","fire-uach"
"@babel/plugin-syntax-object-rest-spread@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread/raw/master/LICENSE","next:fire-uach"
"@babel/plugin-syntax-optional-catch-binding@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-catch-binding","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-catch-binding/raw/master/LICENSE","next:fire-uach"
"@babel/plugin-syntax-optional-chaining@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining/raw/master/LICENSE","next:fire-uach"
"@babel/plugin-syntax-optional-chaining@7.8.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining/raw/master/LICENSE","fire-uach"
"@babel/plugin-syntax-top-level-await@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-top-level-await","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-top-level-await/raw/master/LICENSE","next:fire-uach"
"@babel/plugin-syntax-typescript@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-typescript","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-typescript/raw/master/LICENSE","next:fire-uach"
"@babel/plugin-transform-arrow-functions@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-arrow-functions","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-arrow-functions/raw/master/LICENSE","next:fire-uach"
"@babel/plugin-transform-async-to-generator@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-async-to-generator","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-async-to-generator/raw/master/LICENSE","next:fire-uach"
"@babel/plugin-transform-block-scoped-functions@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-block-scoped-functions","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-block-scoped-functions/raw/master/LICENSE","next:fire-uach"
"@babel/plugin-transform-block-scoping@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-block-scoping","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-block-scoping/raw/master/LICENSE","next:fire-uach"
"@babel/plugin-transform-classes@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-classes","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-classes/raw/master/LICENSE","next:fire-uach"
"@babel/plugin-transform-computed-properties@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-computed-properties","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-computed-properties/raw/master/LICENSE","next:fire-uach"
